id;action;control_class;argument;jhi_order;is_static
1;sensor Creek Internal;Israeli Chair Auto;Human monitor;42134;N
2;line;product Analyst;Gloves Corners;96534;Y
3;Rubber;Shirt ivory;flexibility Customer;18433;N
4;index;card;Awesome Music Forward;13411;N
5;Automated SSL;Bedfordshire;Garden Concrete Salad;20489;Y
6;Car multi-tasking;copy;alarm;18738;N
7;full-range;utilize;Guyana;65209;Y
8;Unbranded backing Sausages;Car Function-based;Specialist Cheese AI;53011;Y
9;Shoes;Zambia Card;Home;76678;Y
10;transmitting Baby;Nebraska Libyan Games;National;29900;N
