id;f_id;name;url;icon;jhi_order;page_map_reorders;one_record
1;20335;utilisation Generic;http://adolfo.info;panel Walk SCSI;57913;false;N
2;3999;discrete;https://abdullah.name;analyzing;48484;true;Y
3;54666;Louisiana;http://georgiana.com;Diverse Versatile Borders;90112;false;N
4;44578;Implementation Throughway;http://polly.net;transitional;81167;true;Y
5;37323;B2B implementation;https://brennon.net;Swaziland zero Forward;78760;true;Y
6;67142;workforce Rwanda;https://bettie.net;quantifying TCP Illinois;49668;true;Y
7;12350;Chips Direct;https://maverick.name;matrix Washington connect;55384;true;N
8;80765;green;https://vincenza.com;Alaska Gorgeous Intranet;46420;true;Y
9;17746;capacitor;https://serenity.name;monitor Fresh;28833;true;N
10;40500;Innovative Key;http://arjun.name;Branding Arkansas;91534;true;N
