id;name;jhi_order;icon;url;hidden;is_ctrl_panel;for_group;one_record
1;array Granite responsive;83289;Forward;https://zetta.com;Y;Y;14300;Y
2;Human frictionless Frozen;57395;Pennsylvania Human invoice;https://eugene.biz;N;Y;3260;N
3;bus Tugrik;3718;turquoise users;http://virginie.org;Y;Y;35091;Y
4;RAM Alabama reinvent;79891;Barbados;http://dax.name;Y;N;84220;N
5;Streamlined;32522;loyalty primary;http://curtis.info;Y;N;69416;Y
6;Identity Steel;11528;calculating Dollar;https://ahmad.name;N;N;97392;Y
7;Configuration microchip;14414;Fish Jersey Coordinator;https://dariana.name;N;Y;45856;Y
8;Kip frame Shoes;16141;Soft Central Pines;https://enrique.org;N;Y;67467;N
9;1080p Arizona;87446;Borders;https://jack.org;Y;N;15640;N
10;Serbia;58496;blue PNG;https://erna.biz;Y;N;52017;N
