id;address;date;system_address;hot_wallet;warm_wallet
1;programming Profit-focused Minnesota;2022-08-13T18:59:08;Y;Y;N
2;Pennsylvania blockchains;2022-08-13T14:28:20;N;Y;Y
3;copying circuit compressing;2022-08-14T02:30:23;Y;N;Y
4;Generic port reboot;2022-08-13T18:58:37;Y;N;Y
5;calculating Internal;2022-08-14T01:11:07;Y;N;N
6;Movies Forks Avon;2022-08-14T01:10:54;N;Y;N
7;Tasty;2022-08-13T11:15:04;Y;N;N
8;approach;2022-08-14T08:16:21;Y;Y;Y
9;reboot quantifying;2022-08-13T11:27:58;Y;N;Y
10;auxiliary;2022-08-13T15:52:54;N;N;Y
