id;reference;create_date_time_utc;status;amount_to_capture;converted_amount_to_capture;converted_currency;conversion_rate;is_final_capture
1;3872;2022-07-08T16:30:30;COMPLETED;92367;80834;USD;66397;true
2;76015;2022-07-08T18:17:49;PENDING;55807;1072;JPY;15382;false
3;88161;2022-07-08T08:01:23;COMPLETED;25561;19200;JPY;97296;true
4;29568;2022-07-08T05:03:45;PENDING;52427;45293;EUR;53673;true
5;14527;2022-07-08T12:07:24;COMPLETED;22832;76818;ETH;29616;true
6;16795;2022-07-09T00:48:40;COMPLETED;94073;22164;EUR;74466;true
7;12378;2022-07-08T15:47:29;PENDING;15755;66425;ETH;19827;true
8;73333;2022-07-08T11:33:32;PENDING;49374;92382;USD;15102;true
9;98315;2022-07-08T08:00:35;PENDING;10678;74888;ETH;34269;true
10;19301;2022-07-08T19:53:14;PENDING;20167;30819;JPY;54867;true
