id;amount;date;is_active;total_withdrawals;profit_to_factor;factored;date_1
1;87898;2022-08-13T11:35:00;N;26860;13274;N;2022-08-14T03:57:38
2;75730;2022-08-13T15:16:59;N;64550;34729;N;2022-08-13T16:20:23
3;38100;2022-08-13T11:17:24;N;61371;42667;Y;2022-08-13T15:04:38
4;86990;2022-08-14T08:13:48;N;30375;11052;N;2022-08-14T01:00:13
5;10894;2022-08-14T05:04:20;Y;97966;91148;Y;2022-08-13T16:21:47
6;51285;2022-08-13T18:01:41;N;46514;84804;N;2022-08-14T02:31:38
7;12894;2022-08-14T08:43:04;Y;91322;428;N;2022-08-13T12:21:40
8;74997;2022-08-13T16:54:08;Y;24097;46339;N;2022-08-13T12:45:31
9;62615;2022-08-13T11:31:17;Y;18391;66359;N;2022-08-13T14:24:25
10;32111;2022-08-14T05:50:13;N;80869;13741;N;2022-08-13T17:58:23
