id;currency;fa_symbol;account_number;account_name;is_active;usd_bid;usd_ask;name_en;name_es;name_ru;name_zh
1;dep;back Mississippi;33555;Personal Loan Account;Y;hybrid Checking e-services;compressing hard Credit;application;Tennessee Account Automotive;application;Account Rustic haptic
2;Imp;Fiji Factors compressing;67576;Savings Account;Y;Fresh blue Concrete;firewall SDD Cambridgeshire;Wyoming SCSI;Sports Steel;ivory;multi-tasking
3;Acc;bandwidth Tennessee;33937;Credit Card Account;N;protocol;Fish payment;methodologies Baht;Brook HDD SQL;brand haptic state;invoice
4;Inv;deposit;31618;Auto Loan Account;N;bypassing Zloty;grey payment grow;functionalities Nuevo;Nepal AI;synergies Buckinghamshire Direct;Specialist Gorgeous
5;mis;District mobile Guinea;64559;Personal Loan Account;Y;Switzerland;SSL Buckinghamshire Falkland;JBOD Personal orchestrate;Soft orchestration circuit;withdrawal;SDD interactive
6;Gar;Senior Forward Lead;51987;Checking Account;N;payment;Unbranded;blockchains;Wooden calculating;withdrawal Robust schemas;Riyal
7;Wis;Highway Jordanian;37362;Personal Loan Account;N;Beauty Generic;navigate Turnpike;toolset ivory Hawaii;Multi-layered;attitude-oriented;migration
8;De-;cultivate Granite;37585;Savings Account;Y;Chief;Peso;Practical Gorgeous;panel;SDD;matrix Web
9;Fre;strategy;88008;Credit Card Account;Y;Money lavender Hat;Norfolk;navigate;expedite Mobility;Dynamic indigo Engineer;Fresh bypass collaborative
10;Aut;throughput;42253;Credit Card Account;N;Implemented;alliance invoice Product;e-business;Wyoming cutting-edge;navigating Cambridgeshire vortals;South Cambridgeshire multimedia
