id;date;total_btc;total_fiat_usd;open_orders_btc;btc_per_user;transactions_btc;avg_transaction_size_btc;transaction_volume_per_user;total_fees_btc;fees_per_user_btc;usd_per_user;gross_profit_btc
1;2022-08-14T04:22:25;66028;76409;29854;73586;24745;59026;30278;17102;75050;59294;72966
2;2022-08-13T21:47:54;9369;96266;60934;13274;55829;12139;43615;51690;23121;28669;33088
3;2022-08-14T05:58:15;20085;94045;26865;5502;28826;65903;19071;25360;3029;55214;79176
4;2022-08-14T05:02:00;21069;55297;39454;23823;15331;95861;45393;94452;78088;78218;13273
5;2022-08-13T15:10:25;7604;39672;23151;24074;57748;7232;97907;34998;28566;42621;60615
6;2022-08-13T13:37:16;62168;86309;5031;7827;54298;47284;76661;24210;94261;81773;27034
7;2022-08-14T06:59:13;57893;52229;75800;45168;30593;30859;93379;71183;13334;98531;20503
8;2022-08-13T12:27:57;34852;44551;22649;16550;48910;1961;99417;64955;83997;36444;71352
9;2022-08-13T22:31:02;88426;81922;39426;18557;53119;4697;84137;85496;79352;89845;16663
10;2022-08-13T21:32:24;43510;56280;76788;79774;86023;23221;14154;88146;26805;17554;89682
