id;key;title_en;title_es;content_en;content_en_content_type;content_es;content_es_content_type;title_ru;title_zh;content_ru;content_ru_content_type;content_zh;content_zh_content_type
1;turquoise;Ameliorated;virtual monetize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Forward;Roads regional bluetooth;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;withdrawal SCSI;contingency;Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;magenta GB Soap;bottom-line SDD withdrawal;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;Outdoors Reunion Iraq;Director;Frozen;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Salad Account Marketing;copying definition 1080p;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;Guinea-Bissau Wooden actuating;index;bypassing calculate;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Frozen withdrawal;Sleek Metal connect;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;Station Trail;Configurable incubate RSS;Walk Games;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Arkansas scalable;monitoring e-enable SMS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;Antarctica;azure Producer Re-contextualized;Account wireless Outdoors;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Plastic Security indexing;compress Rhode;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;program;Chief extensible Universal;EXE application;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;firewall;application Buckinghamshire of;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;object-oriented synthesize;Plastic Pataca payment;uniform Designer;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;lime;copying;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Synchronised Engineer;transmitter synthesize;e-commerce;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;e-tailers Division;granular emulation Buckinghamshire;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;parse index JBOD;tertiary;Croatian;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Bacon;Bike;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
