id;code;message;translated_message
1;Credit virtual;card engine productivity;Leone bluetooth microchip
2;Chips withdrawal Berkshire;green JSON Direct;transmitting
3;capacitor support;turquoise Plastic;Account Lira alarm
4;moratorium Liaison;B2B Health;South Planner Bedfordshire
5;Investor Marino FTP;Designer;Computer programming
6;Automotive Forest Dakota;National View Team-oriented;zero
7;Puerto Rand;Brunei;area Shoes Cyprus
8;connecting Operations Fresh;deploy Branch users;e-tailers Hat Team-oriented
9;Rustic Mexico;Baby;Beauty calculating
10;Synchronised Greenland;Robust;incubate Sausages
