id;date;ip;bitcoin_address;balance_before;balance_after
1;2022-08-14T01:08:34;Loaf Frozen Mayen;withdrawal;43185;66
2;2022-08-13T11:02:43;Assistant Virginia composite;copying;48852;82000
3;2022-08-14T07:42:18;black mobile;Planner Licensed plug-and-play;53471;60462
4;2022-08-13T11:06:39;alarm;USB;21439;3815
5;2022-08-14T02:49:29;Mountain;deposit;91332;77329
6;2022-08-13T10:18:19;emulation;Upgradable;81627;73712
7;2022-08-14T05:08:56;compress Tasty;Avon Loan Circles;39687;48585
8;2022-08-14T04:11:44;Indiana;optical microchip cyan;80086;17676
9;2022-08-14T08:15:30;Account;Future administration Persevering;67587;83998
10;2022-08-14T06:38:49;Health back-end array;Computer;39794;29326
