id;name_en;name_es;name_ru;name_zh
1;Executive calculate;Principal parsing mint;Digitized Borders;Response
2;Electronics productize exuding;Re-engineered Interface Riel;Coordinator Steel paradigms;Shoes Chips HDD
3;secured;Pants Fish alarm;Group Assistant;Alaska
4;platforms;District;lavender haptic;Dynamic De-engineered
5;group Beauty deliverables;Concrete;indigo;payment Andorra
6;systems;Toys;turquoise array FTP;bypassing
7;Rubber Mouse;connect array;Intelligent Global;ADP
8;De-engineered Granite e-services;Corners;alliance hybrid Advanced;Awesome
9;repurpose 5th Wooden;Principal zero;plum;Accounts matrix
10;Architect Mexico;Metical Functionality;Rupee optimal;Chief Borders
