id;locale;code;name;prefix
1;FTP;Je;Product redundant deposit;Bahamian
2;Cambridges;Pa;Alabama;Gloves
3;Fresh Key ;Co;protocol Sudanese;FTP one-to-one
4;Kong;RS;innovative matrix;Profit-focused Frozen
5;Regional;Re;XSS;Ports Keyboard leading
6;Practical;de;grey repurpose;Jamaica SDD blue
7;Paradigm K;Lo;copying;Research Texas indexing
8;payment;op;Multi-channelled port XML;convergence
9;navigating;Ho;benchmark Account;Streamlined
10;invoice co;mo;e-tailers Cambridgeshire Marketing;withdrawal engineer quantify
