id;key;esp;eng;jhi_order;p_id;zh;ru
1;Small;Avon Table;next primary;Mandatory port;4479;Usability;payment maximized cross-platform
2;solution rich;visionary program;national;Dalasi;72274;violet Rupee;Ball copying Buckinghamshire
3;repurpose Clothing payment;innovative;PCI;Delaware;94785;grey Metrics IB;North Slovenia
4;Gorgeous;Nevada haptic circuit;Avon Borders Dong;California;22048;Division engineer;national yellow definition
5;partnerships;Exclusive;Music FTP Berkshire;Sausages;77427;leverage holistic;Generic
6;Manager Director deposit;optical;auxiliary Utah;Plastic;89650;maroon Louisiana reboot;Cambridgeshire
7;programming architectures;Wooden Agent Accountability;systems;Cambridgeshire azure;68433;Security;invoice Seamless Dollar
8;Savings Island payment;Dakota Electronics;microchip online Division;Kroon workforce compressing;5272;Trinidad Response Polarised;Mandatory didactic bypassing
9;database Movies;matrix Tajikistan Mouse;Djibouti HDD;silver THX;89176;Incredible innovate;overriding
10;program Books;Car Avon;maroon Cambridgeshire;interface Up-sized;57582;withdrawal Peso Syrian;index solid
