id;date;transactions_btc;avg_transaction_size_btc;transaction_volume_per_user;total_fees_btc;fees_per_user_btc;gross_profit_btc
1;2022-08-14T00:17:01;83056;64253;57126;77017;72897;34551
2;2022-08-14T06:52:17;58713;97120;50805;1467;94379;37606
3;2022-08-13T21:37:02;83440;94511;85787;32354;53126;50702
4;2022-08-14T03:17:08;80396;41349;47690;82599;29109;24556
5;2022-08-14T01:11:32;58534;47715;7357;91414;87490;46268
6;2022-08-13T23:30:19;43822;48510;28148;50678;56472;60888
7;2022-08-14T07:49:12;31729;7307;55235;77834;14784;15748
8;2022-08-13T17:51:22;27775;15871;82934;53873;41201;68810
9;2022-08-14T02:29:47;17224;97273;29857;44802;61213;72426
10;2022-08-13T15:56:18;66965;56525;66396;95021;8569;86560
