id;title_en;title_es;date;content_en;content_en_content_type;content_es;content_es_content_type;title_ru;title_zh;content_ru;content_ru_content_type;content_zh;content_zh_content_type
1;technologies Computer;hack Tasty internet;2022-08-14T05:31:08;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;blockchains analyzing Grocery;deposit maximize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;bricks-and-clicks Franc Directives;Bahrain platforms Platinum;2022-08-14T04:00:05;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;auxiliary Account;Personal;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;Lithuanian pixel e-services;emulation;2022-08-14T00:42:56;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;infomediaries Granite;integrate back-end;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;quantify;CSS Cheese;2022-08-14T00:57:13;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Cross-platform;hack copying;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;Programmable HDD;multimedia multimedia;2022-08-13T10:12:13;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Won magnetic;Inlet program;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;Customer PNG;Indiana;2022-08-13T13:04:59;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Granite throughput artificial;salmon Fish Inverse;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;Specialist capacitor Card;back-end connect Corporate;2022-08-13T13:35:52;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;override;Way Soft;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;Fish;Curve;2022-08-13T11:15:08;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Rubber;black;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Fresh pink Handmade;bypass;2022-08-13T13:02:16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Enterprise-wide Customer;Shilling generation;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;withdrawal;Fantastic white;2022-08-13T11:36:45;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;task-force Arizona Gardens;Fantastic Uzbekistan Sleek;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
