id;line_number;type;sku_code;name;description;quantity;unit_price_excl_vat;unit_price_incl_vat;vat_percentage;vat_percentage_label;discount_percentage_label;total_line_amount;url
1;19690;PHYSICALITEM;Customizable;generation Gorgeous system;Shoes;31867;83653;59069;73511;Mali;proactive Incredible;58399;https://tanner.name
2;1229;PAYMENTCOST;Jamahiriya;Cambridgeshire synthesize asynchronous;Fantastic ubiquitous navigating;98459;61976;28019;54837;Account generating;content Ouguiya;29442;https://hattie.name
3;12897;GIFTCARD;Norwegian;overriding program Intelligent;Port Associate Maine;84353;32134;70271;84913;Islands Cotton;Legacy withdrawal;8737;http://alysson.net
4;64275;DISCOUNT;TCP;sensor Michigan;generating;26967;1620;250;81077;Specialist Generic;HTTP Licensed repurpose;26250;https://johnny.name
5;52894;SHIPPINGCOST;quantifying backing;Delaware;ROI;68040;29759;6681;69480;transmit;exploit;39428;http://santina.biz
6;92065;SHIPPINGCOST;Cayman;Internal Engineer Avon;Gourde line;50070;90404;44717;56231;Small web-readiness;Baby;69259;http://gregorio.com
7;53073;SHIPPINGCOST;Rubber solutions program;leverage;Vatu;17054;10822;18250;55127;bandwidth-monitored Green;Washington;66910;https://kailey.net
8;58011;DIGITALITEM;success hierarchy back-end;synthesizing;Assistant Refined;69552;77508;48053;79575;Franc withdrawal;Configurable;52881;http://clara.org
9;37186;GIFTCARD;Ball Technician;Kwacha Keyboard Guilder;state Fork;53680;41219;40487;14561;Regional client-driven Bedfordshire;Euro Credit Carolina;99687;https://herminio.net
10;22091;DIGITALITEM;Tanzanian;Metal tan;Web;5009;63199;58836;1528;Profit-focused index;Avenue Gloves Berkshire;56589;https://ariel.name
