id;date;btc;market_price;btc_price;fiat;p_id;stop_price;status;btc_remaining
1;2022-08-14T00:37:26;88633;N;38265;11167;82058;protocol Plastic Directives;OUT_OF_FUNDS;80169
2;2022-08-14T00:02:53;23872;N;95336;58538;99045;Concrete;FILLED;20269
3;2022-08-14T06:47:52;62737;N;50444;74262;94856;Wyoming Hat;ACTIVE;344
4;2022-08-13T18:36:52;86052;N;82447;19257;76463;Marks hack;REPLACED;74179
5;2022-08-13T20:58:47;74150;N;43590;62571;19018;Human firewall Configuration;ACTIVE;58466
6;2022-08-14T03:03:56;7759;N;88252;97950;28518;SCSI Shirt;CANCELLED_USER;51003
7;2022-08-14T00:34:31;50766;Y;95065;72734;97547;Dynamic Global;ACTIVE;74195
8;2022-08-14T02:40:55;10377;N;70444;33576;44152;Group Bedfordshire Shirt;REPLACED;7500
9;2022-08-13T15:41:56;59518;Y;62283;36207;765;Orchestrator;ACTIVE;94164
10;2022-08-13T18:52:32;89684;N;18620;97403;54947;navigate reboot;ACTIVE;64185
