id;name_en;name_es;name_ru;name_zh
1;Account Fresh violet;clear-thinking;deposit wireless ivory;bypassing Borders
2;Faso Denar Table;red;Table Salad Account;Mouse pixel Bahamas
3;Illinois Garden;FTP open-source Accountability;New Organized;Grocery Tools
4;JSON Branding Cotton;Ergonomic;Kids circuit;Cambridgeshire Customer
5;Shoes;hack Awesome;Granite;defect
6;deliverables invoice;Fresh parsing Mountains;systemic Brand Soft;hub
7;Intelligent Hawaii feed;Representative Sports;Dominican;Specialist
8;HTTP User Progressive;copy e-commerce;Interactions virtual Representative;Assistant recontextualize Account
9;Dinar Direct;Brook;Internal Turkish New;leverage 1080p
10;Beauty;robust Fundamental;Michigan payment;auxiliary SSL
