id;date;btc;fiat;btc_price;market_price;stop_price
1;2022-08-14T02:58:39;81740;19508;87778;Y;2813
2;2022-08-13T12:47:40;35961;55782;72905;N;37188
3;2022-08-14T07:09:11;15791;20297;71678;Y;7751
4;2022-08-13T19:33:24;45048;95333;60534;Y;12937
5;2022-08-14T04:51:10;8059;5405;71585;Y;13356
6;2022-08-14T05:55:31;78370;52751;38213;Y;93004
7;2022-08-14T00:37:37;51558;92770;26565;Y;29392
8;2022-08-14T01:10:57;74520;75757;83420;N;35146
9;2022-08-13T15:35:19;61899;35277;19133;Y;75988
10;2022-08-13T17:55:46;72165;86071;29839;Y;67586
