id;reference;create_date_time_utc;status;amount_to_collect;surcharge_amount;converted_total_amount;converted_currency;conversion_rate;paid_amount
1;36635;2022-07-08T22:11:46;FAILED;53541;35742;41795;BTC;17071;79884
2;53272;2022-07-08T19:11:23;COMMISSIONED;61414;9004;16066;CNY;13119;10361
3;44370;2022-07-08T17:17:58;PAID;81027;93164;51176;BTC;20680;74131
4;3313;2022-07-08T17:35:05;VERIFIED;32213;46570;76430;USD;77152;11298
5;16630;2022-07-08T09:20:54;DECLINED;94279;56143;606;ETH;88589;78703
6;20882;2022-07-08T14:33:05;RESERVED;31263;67238;13397;JPY;14845;13643
7;12604;2022-07-08T19:22:44;VERIFIED;50235;248;65405;RUB;71713;8762
8;50944;2022-07-08T17:13:37;PAID;92619;25457;62995;CNY;74849;78229
9;38933;2022-07-08T20:50:48;VERIFIED;72721;11743;5290;JPY;79247;53725
10;24324;2022-07-08T15:32:21;VERIFIED;49650;31306;94679;ETH;52285;65074
