id;reference;create_date_time_utc;type;trace_reference;configuration_id;domain;locale;time_zone;parent_payment_job_reference;display_url;currency;amount_to_collect;amount_collected;paid_amount;paid_date_time_utc;expiration_date_time_utc;due_date_time_utc;last_update_time_utc;last_processed_time_utc
1;78725;2022-07-08T10:14:37;PAYMENT;80943;Metal Secured;encoding utilize deposit;EN_GB;user-centric Baht;85651;Account Alaska;BTC;39766;13867;90027;2022-07-08T13:02:35;2022-07-08T13:19:11;2022-07-08T07:43:30;2022-07-08T18:47:54;2022-07-08T04:18:24
2;41003;2022-07-09T02:26:31;PAYMENT;83827;Multi-layered violet lavender;Car;NL_NL;Market Handmade;69120;alarm;EUR;14684;90061;48107;2022-07-08T05:49:21;2022-07-08T18:48:45;2022-07-08T03:24:20;2022-07-08T12:49:55;2022-07-08T08:52:16
3;16877;2022-07-08T18:09:23;PAYMENT;74169;Self-enabling Human Portugal;bottom-line;ES_ES;neural;26617;Intuitive;JPY;31871;51719;84628;2022-07-08T02:52:07;2022-07-08T06:17:38;2022-07-08T13:10:37;2022-07-08T02:53:24;2022-07-08T07:42:54
4;9206;2022-07-08T04:37:10;CREDIT;96698;indexing Refined;Carolina Account calculate;EN_US;Rubber;50120;Communications;EUR;93607;57880;72529;2022-07-08T20:35:07;2022-07-08T15:00:42;2022-07-09T01:11:57;2022-07-08T10:18:56;2022-07-09T02:35:53
5;24169;2022-07-08T07:01:53;CREDIT;82564;protocol Small;Gorgeous Lakes;EN_US;Berkshire Granite;65845;content;USD;29926;82020;50880;2022-07-08T18:00:58;2022-07-08T08:31:51;2022-07-08T23:56:28;2022-07-08T03:26:56;2022-07-08T18:53:10
6;84777;2022-07-08T06:07:06;PAYMENT;23590;Cross-platform;generation initiative Mouse;ES_ES;framework;30728;Refined Jewelery Montserrat;USD;19664;12209;59645;2022-07-08T09:31:47;2022-07-08T06:47:41;2022-07-08T21:01:27;2022-07-08T21:53:08;2022-07-08T22:43:06
7;81905;2022-07-08T06:48:04;CREDIT;90490;Home;Legacy Electronics Auto;NL_NL;District Rue and;43157;payment Plastic;RUB;36792;73303;29799;2022-07-08T19:18:09;2022-07-08T19:06:42;2022-07-08T07:10:22;2022-07-08T10:44:45;2022-07-08T11:14:14
8;43237;2022-07-08T10:24:23;PAYMENT;8296;Shilling Chair input;Architect Chief product;EN_GB;redundant;64099;Human collaborative transmitter;BTC;41881;93141;3163;2022-07-08T23:53:24;2022-07-08T22:26:42;2022-07-08T02:41:50;2022-07-08T08:02:56;2022-07-08T23:53:08
9;50181;2022-07-08T12:01:38;CREDIT;24928;Metrics Small;Configurable Bike tan;NL_NL;Berkshire;5675;port Account deposit;USD;91622;78608;54399;2022-07-08T09:38:08;2022-07-08T16:31:46;2022-07-09T01:35:17;2022-07-08T09:19:52;2022-07-08T18:47:39
10;72679;2022-07-08T05:25:58;PAYMENT;28942;Awesome Licensed;content-based;EN_GB;Checking parallelism Dynamic;2544;SCSI Usability Coordinator;CNY;47601;86837;17436;2022-07-08T03:21:31;2022-07-08T16:09:57;2022-07-08T07:46:40;2022-07-08T10:27:30;2022-07-08T18:02:10
