id;webhook_url;google_analytics_client_id;allowed_parent_frame_domains;payment_page_reference
1;Dollar;Tactics Ohio auxiliary;Ruble tan;deposit
2;reboot;Tasty Buckinghamshire auxiliary;Response Hawaii Soft;Islands
3;Cambridgeshire improvement;synthesize Orchestrator Executive;HTTP Shoes;Rubber Regional olive
4;orchid connect Bedfordshire;Assimilated;User-friendly Rand;Gourde cyan
5;Illinois XML Kwacha;connecting Card Computers;Guilder calculating Intelligent;Street homogeneous silver
6;web-readiness;connecting Granite;Hat Computers deploy;back-end withdrawal Salad
7;navigate cross-platform;Falls;interface;Configuration Coordinator
8;Cambridgeshire;sexy;incubate cultivate;matrix program
9;e-commerce;GB Investor paradigms;Gourde integrated;Connecticut Sports navigating
10;supply-chains;Soap tertiary;neural-net hacking one-to-one;Buckinghamshire Cotton Program
