id;payment_method;logo;supports_tokenisation;currencies;surcharge_amount;surcharge_amount_excl_vat;surcharge_amount_vat;surcharge_vat_percentage;description
1;Freeway;Frozen;true;BTC;10178;8891;9450;81145;Chair
2;National Communications sky;Health expedite Music;false;CNY;56074;8907;8168;40900;synergies Interactions Concrete
3;Italy;real-time Nicaragua Illinois;true;RUB;85205;78705;31030;25080;Group
4;Ball Account;functionalities;false;CNY;84041;64492;21065;20049;Steel supply-chains
5;Norfolk definition Metal;didactic Shirt;false;EUR;96418;54554;39097;49509;Loop Buckinghamshire
6;state Cotton;Loan;false;BTC;94589;6388;61062;64694;Administrator
7;Tuna capacitor;parsing synergies SQL;false;RUB;46280;77240;99885;60585;Pants bus
8;Director scalable online;Carolina Euro Table;false;ETH;70983;47283;92621;77183;synthesizing SMTP
9;Optimized Ohio;Hampshire blockchains Idaho;false;JPY;1193;59989;30829;88736;Personal GB Springs
10;Optimization Avon Franc;Tasty;false;ETH;80401;71999;99016;44987;Loaf
