id;reference;create_date_time_utc;action;status;amount_to_collect
1;39601;2022-07-08T08:01:02;PROCESS;BLOCKED;89886
2;60209;2022-07-08T17:37:07;PROCESS;DECLINED;41210
3;20255;2022-07-08T15:35:40;BACKGROUNDPROCESS;CANCELLED;67295
4;92051;2022-07-08T07:14:34;PAYMENTMETHODSELECTION;PENDING;79413
5;68313;2022-07-08T19:44:15;CANCEL;EXPIRED;73017
6;59768;2022-07-08T18:30:20;CAPTURE;REJECTED;38283
7;37240;2022-07-08T06:14:27;CAPTURE;CANCELLED;74152
8;51407;2022-07-08T13:40:48;REFUND;CANCELLED;83436
9;67934;2022-07-08T08:44:39;START;REJECTED;90145
10;98721;2022-07-08T08:13:18;BACKGROUNDPROCESS;REJECTED;47336
