id;recurrence_type;recurring_expiry;recurring_frequency;instalments
1;UNSCHEDULED;2022-07-08T15:16:48;41643;33681
2;UNSCHEDULED;2022-07-08T17:22:34;66322;5627
3;UNSCHEDULED;2022-07-08T05:02:47;96289;23675
4;SUBSCRIPTION;2022-07-08T22:38:51;43278;12720
5;UNSCHEDULED;2022-07-09T01:22:13;52497;97862
6;UNSCHEDULED;2022-07-08T20:52:46;16082;90087
7;SUBSCRIPTION;2022-07-08T20:14:18;34078;30411
8;UNSCHEDULED;2022-07-08T11:29:31;59083;42400
9;UNSCHEDULED;2022-07-08T09:52:30;9427;39609
10;CUSTOMERINITIATED;2022-07-08T13:20:34;13514;69244
