id;reference;create_date_time_utc;refund_number;status;amount_to_refund;converted_amount_to_refund;converted_currency;conversion_rate
1;30783;2022-07-08T15:50:58;virtual;PENDING;86050;90967;JPY;40382
2;13904;2022-07-08T21:32:00;Shoes e-markets;COMPLETED;52400;70481;ETH;28625
3;90464;2022-07-09T02:08:39;Colorado;FAILED;43823;78780;BTC;52829
4;82743;2022-07-08T14:41:25;TCP Branding withdrawal;COMPLETED;9417;26964;BTC;7226
5;23157;2022-07-09T02:22:43;Virtual Account payment;FAILED;96758;61819;ETH;81080
6;25164;2022-07-08T08:02:01;Buckinghamshire;PENDING;71953;15484;JPY;75534
7;50547;2022-07-08T23:44:08;turn-key parse;COMPLETED;37967;52242;USD;53803
8;22151;2022-07-08T18:07:52;extend upward-trending;PENDING;93541;18338;JPY;32348
9;97768;2022-07-08T10:17:59;Plastic;COMPLETED;77930;64148;ETH;86306
10;791;2022-07-08T20:41:54;morph Avon;FAILED;92032;67974;EUR;30023
