id;reference;create_date_time_utc;action;status;description
1;77659;2022-07-08T14:50:07;CANCEL;FAILED;Senior Cambridgeshire
2;47948;2022-07-08T05:21:08;CANCEL;PENDING;feed
3;47533;2022-07-08T21:21:25;START;PENDING;Israel generate
4;60932;2022-07-08T22:17:23;PROCESS;FAILED;Accountability payment incremental
5;42292;2022-07-09T00:31:05;CANCEL;PENDING;Virginia
6;66349;2022-07-08T20:19:05;START;COMPLETED;Sleek Florida
7;9038;2022-07-08T08:35:25;CANCEL;PENDING;neural JSON
8;38936;2022-07-08T07:29:25;PROCESS;FAILED;partnerships Music
9;75137;2022-07-08T13:28:13;CANCEL;COMPLETED;innovate Chair
10;30669;2022-07-08T11:24:24;PROCESS;FAILED;Idaho Malaysia experiences
