id;name_en;name_es;name_ru;name_zh
1;viral;Movies solid Steel;Kids Movies panel;payment National
2;Analyst black;Sterling transmitter Granite;innovative IB Ghana;Tasty
3;deposit;Future;Card Pass Forward;Garden
4;Tools;Jewelery;synthesize;overriding
5;generating;payment transmitter;Krona;magnetic
6;California;parsing Health;multi-byte Norway Automotive;Cotton action-items
7;connecting innovate;Outdoors Wooden;customized open-source;Plastic multi-tasking killer
8;1080p;cutting-edge circuit back-end;TCP;Vatu
9;mobile Maryland Administrator;District Account Generic;sexy up scalable;connect Accounts
10;Kids;THX;quantify;Finland Bahamian overriding
