id;name_en;name_es;name_ru;name_zh
1;backing solutions;Automated;Games;Denar
2;users parsing Loan;interface;firewall recontextualize;Books Chicken
3;Down-sized ivory;solution;Music;Bedfordshire Diverse Colombia
4;overriding;Bhutanese Sausages technologies;Table portal Account;Pants cultivate
5;Carolina payment;Outdoors Central;Applications connect SSL;Garden Towels
6;RAM Dollar;portal silver;Senior Chief info-mediaries;Soap Soft Dynamic
7;Bike;Principal;Central;deposit
8;action-items CSS synergies;mindshare Shoal;Card solid;Saint network
9;deposit solution Small;withdrawal Sudan;Fish Mall Analyst;Mauritius Colorado
10;Shilling;Berkshire grey Neck;SAS Producer impactful;Front-line (Bouvetoya) withdrawal
