id;name_en;name_es;name_ru;name_zh
1;programming Virginia;user-centric navigating;bluetooth Forward Licensed;seamless schemas
2;Product;action-items online;SMTP;disintermediate Keyboard Division
3;silver Factors;hierarchy;withdrawal back-end;Tasty
4;grid-enabled Synergized bluetooth;silver users Ways;Fort;Upgradable Producer Producer
5;cyan;Bedfordshire microchip;synergy SQL;deposit
6;back-end cross-platform;user-centric Triple-buffered Bike;compress teal Berkshire;administration
7;Buckinghamshire Baby;invoice of Won;Fresh Representative Chicken;Inverse
8;Washington Architect;Cambodia cross-media Accounts;Turkey cross-media Georgia;SDR
9;ivory;XML Tunnel middleware;Electronics;quantifying Shoes
10;Tactics;asymmetric hub;Cheese;Quality
