id;date;amount;address_id;account;send_address;transaction_id;increment;done;crypto_id;fee;net_amount;notified
1;2022-08-13T20:30:07;68261;92505;51058;payment deposit;Gloves Cotton SMTP;85773;Y;18792;951;11012;75853
2;2022-08-13T16:22:45;180;40206;67008;Handcrafted;incremental matrix enable;58541;N;45736;90301;68493;53710
3;2022-08-13T19:41:05;97142;9793;74538;Seychelles Cotton;Rustic Soft JSON;44683;Y;52425;16285;63078;26705
4;2022-08-13T15:14:32;8710;94091;50830;North homogeneous;Branch iterate;95211;N;87717;74557;56730;45639
5;2022-08-14T05:06:06;49722;97097;42963;flexibility;red;81181;N;15800;18973;64277;96059
6;2022-08-13T10:01:48;10300;50145;36178;Practical;Hawaii online;30862;N;64626;37293;1978;58452
7;2022-08-14T04:41:37;93147;53899;83955;world-class Salad Rubber;Texas;49227;Y;1446;29038;1330;24807
8;2022-08-13T18:59:28;74550;26050;60450;web-enabled;Oregon Gorgeous grid-enabled;397;Y;52619;95256;9208;93375
9;2022-08-13T13:09:57;1111;56642;69059;transmit cultivate;Facilitator California Account;12365;Y;79575;22422;48940;46043
10;2022-08-13T18:14:41;94629;7486;38814;Buckinghamshire EXE;Car Loop yellow;8563;N;36864;40056;39172;34488
