id;last_sweep;deficit_btc;hot_wallet_btc;warm_wallet_btc;total_btc;received_btc_pending;pending_withdrawals;trading_status;withdrawals_status;db_version;cron_daily_stats;cron_get_stats;cron_maintenance;cron_monthly_stats;cron_receive_bitcoin;cron_send_bitcoin
1;2022-08-13T10:58:33;56208;82827;88572;1648;20079;80342;Rustic Automotive;SMS ROI;60985;2022-08-14T04:11:53;2022-08-14T05:31:22;2022-08-13T18:11:14;2022-08-13T09:32:27;2022-08-14T07:59:54;2022-08-14T02:17:07
2;2022-08-13T20:30:09;50352;26787;87992;23706;85471;42623;parsing virtual;Loan Handmade partnerships;60276;2022-08-14T08:06:07;2022-08-14T03:29:54;2022-08-13T14:34:00;2022-08-14T08:44:47;2022-08-13T14:13:48;2022-08-14T04:06:39
3;2022-08-14T01:19:09;58260;27481;40747;67264;25447;62525;back-end Producer Vanuatu;red Liberia;88950;2022-08-14T08:28:53;2022-08-13T21:30:46;2022-08-13T12:22:13;2022-08-14T01:04:27;2022-08-13T14:35:34;2022-08-14T08:17:18
4;2022-08-14T01:21:11;78091;5967;984;29172;13241;43739;navigate moratorium bypass;Towels;53048;2022-08-14T00:46:45;2022-08-13T11:32:32;2022-08-14T00:36:47;2022-08-14T06:24:25;2022-08-13T18:33:53;2022-08-14T06:47:31
5;2022-08-13T16:51:30;74459;72936;11226;92116;43923;50675;Implementation;Radial cultivate Product;37255;2022-08-13T14:27:35;2022-08-13T23:24:15;2022-08-14T01:00:46;2022-08-13T18:22:37;2022-08-14T05:33:35;2022-08-13T21:37:25
6;2022-08-13T18:03:04;62172;87738;74788;40893;34235;98161;Congo Investment;District;66148;2022-08-14T01:36:44;2022-08-13T10:49:45;2022-08-13T21:38:56;2022-08-13T09:41:12;2022-08-13T19:11:38;2022-08-13T13:50:05
7;2022-08-14T04:53:01;60703;5149;42736;98878;9564;65485;Frozen;navigate transmitting;27941;2022-08-14T02:52:00;2022-08-14T03:22:24;2022-08-13T12:20:05;2022-08-14T03:53:26;2022-08-13T11:15:07;2022-08-13T14:19:06
8;2022-08-13T14:51:18;34798;45535;97115;94860;35391;90761;Harbors Fresh Turnpike;Kentucky Plastic withdrawal;5650;2022-08-14T01:23:39;2022-08-13T23:21:00;2022-08-13T09:52:01;2022-08-13T20:38:18;2022-08-13T13:43:06;2022-08-13T13:21:30
9;2022-08-14T04:42:49;5742;69236;74820;67153;54872;30031;e-markets;Shirt interactive;10818;2022-08-13T11:19:49;2022-08-13T15:08:21;2022-08-13T09:49:46;2022-08-13T21:30:08;2022-08-13T10:41:27;2022-08-14T08:38:07
10;2022-08-14T04:35:51;32493;36277;46919;88197;21410;23007;withdrawal Security McDonald;Forward Card;54846;2022-08-14T00:39:39;2022-08-14T03:00:21;2022-08-13T22:38:14;2022-08-14T05:24:53;2022-08-13T20:58:57;2022-08-13T10:16:18
