id;name_en;name_es;name_ru;name_zh
1;CFA;Keyboard;Licensed Peso revolutionary;platforms mission-critical
2;Avon Solutions;Belarussian functionalities Lights;Small invoice;Global Track 3rd
3;Salad Synergistic Sausages;Supervisor Palladium JBOD;Mobility;Brunei Accountability Aruba
4;Paradigm;Officer Table;Grocery;interface transitional integrated
5;turn-key bandwidth-monitored;Vermont Personal systemic;Fresh Kids Berkshire;Customer
6;Kids Borders;e-enable Bedfordshire orchestrate;Savings;Virginia Arizona
7;payment;Connecticut;implementation;Granite
8;iterate;mint one-to-one;purple Architect flexibility;Practical XSS withdrawal
9;indigo Pound;Music Metal plum;Bedfordshire architect Pre-emptive;Cambridgeshire Mouse
10;GB ROI Gloves;Yemeni invoice aggregate;Central Table;Colorado Decentralized USB
