id;date;btc;btc_price;fiat;fee;fee_1;btc_net;btc_net_1;btc_before_1;btc_after_1;fiat_before_1;fiat_after_1;btc_before;btc_after;fiat_before;fiat_after;fee_level;fee_level_1;orig_btc_price;conversion_fee;convert_amount;convert_rate_given;convert_system_rate;conversion;bid_at_transaction;ask_at_transaction;factored
1;2022-08-13T12:33:45;63568;65673;73894;8190;39046;83898;19785;9869;72457;36697;38676;3557;97433;97686;69381;71493;67118;22152;13321;70819;7144;80340;N;20608;29487;Y
2;2022-08-13T09:43:33;8117;12837;79548;73181;46471;26851;96494;12915;56384;78801;80260;14504;270;56434;92034;44172;31162;38192;12144;4352;92561;48009;Y;88500;25181;N
3;2022-08-13T15:21:39;90668;77819;89440;31664;56136;44375;42423;6737;70430;38768;52821;74144;11047;64412;46442;67723;40948;76510;8681;92224;34178;27959;Y;44660;53771;Y
4;2022-08-13T20:09:59;16287;82789;86913;33771;9705;79164;84222;37017;11658;51236;61868;20588;34929;4986;28727;42910;56669;63;34508;20082;69047;38056;N;25052;74084;Y
5;2022-08-13T23:16:51;44324;47421;86037;96692;21297;33775;42691;2897;54289;81326;31086;15403;45339;1783;53297;27847;65507;84464;37294;23662;65693;74655;Y;45599;72332;N
6;2022-08-13T23:13:11;66186;1279;22356;27223;43852;83988;43774;80390;58761;75601;58025;3711;34485;50316;51803;28628;43907;14836;51772;86862;83617;2981;N;60277;39552;Y
7;2022-08-14T09:08:13;4445;91855;63414;48887;58673;36417;16909;19722;57941;78765;32591;21349;33920;60184;77628;35409;11088;67996;45371;61776;66322;51366;Y;98885;59588;N
8;2022-08-14T06:58:05;33261;5920;75910;32033;1429;50225;13554;32661;51701;58471;31486;82026;50;28419;17744;2097;32610;37244;9697;61288;54214;26100;Y;40612;65828;Y
9;2022-08-14T03:20:57;67310;17800;60659;7757;55628;35957;13169;87404;96543;23782;39842;98582;27914;140;90235;33159;32273;52151;84347;61785;17971;50603;Y;29527;90992;N
10;2022-08-14T04:44:20;80411;10182;32281;90929;84782;51812;55972;40532;49097;91860;21745;95110;74389;86732;31437;37696;73699;78125;45040;41259;65724;6882;Y;50183;92867;Y
